what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908347718
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908347929
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908348121
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908348301
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908348497
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908348873
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1462908349241
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.redo",1462908350284
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908351476
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908354661
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908355928
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908365774
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908365815
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908367320
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908369775
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908370840
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908371403
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908372707
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908375671
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908377254
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908378765
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908379724
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908380770
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908384084
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908385676
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908387842
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908389851
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908390873
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908395843
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908395906
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908398056
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908398622
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908399977
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908401903
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908403186
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908405196
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908406222
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908407395
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908410040
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908411624
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908413190
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908414244
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908415349
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908435675
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908435720
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908441105
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908442379
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908443979
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908449633
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908449684
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908458915
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908459066
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908459243
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908459418
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1462908459553
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908461121
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908461631
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908462879
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908469234
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908470450
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908473953
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908481303
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908482471
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908484029
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908492800
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462908492847
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462908495895
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462908496936
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908498406
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462908538185
